,x0,x1,y,x0_s,x1_s,MiniBatch KMeans,Affinity Propagation,MeanShift,Spectral Clustering,Ward,Agglomerative Clustering,DBSCAN,OPTICS,BIRCH,"Gaussian
Mixture"
0,1.6556562875367824,0.8906925013101079,2,1.1640644371579176,0.8354106841140934,1,2,0,1,2,2,0,0,0,2
1,1.1474798932951926,0.7996869224786889,2,1.0568854469440885,0.8060859241463962,1,2,0,1,2,2,0,0,0,2
2,1.9724113710293796,-0.06925257445661936,2,1.230870944462336,0.5260872416339565,1,2,0,1,2,2,0,0,0,2
3,1.9359258564630066,0.7825760421445549,2,1.2231758199879064,0.8005722791031187,1,2,0,1,2,2,0,0,0,2
4,-3.0477247027933325,3.361196013958429,1,0.17207891629004288,1.6314819078570553,0,0,2,0,0,0,0,-1,1,1
5,-8.349318523896077,-5.440823175136536,0,-0.9460750922559229,-1.2047958595687793,2,1,1,2,1,1,0,1,2,0
6,-8.025949594181359,-4.108448035658976,0,-0.8778736650623696,-0.7754641454715213,2,1,1,2,1,1,0,1,2,0
7,-10.726444373937936,-5.145179614389152,0,-1.4474323987063955,-1.109530530055605,2,1,1,2,1,1,0,1,2,0
8,2.1641123359903025,0.27248698988793957,2,1.2713024089702298,0.6362061027472239,1,2,0,1,2,2,0,0,0,2
9,-3.4876243840745147,-1.0543550685565337,1,0.07930010135617167,0.20865731531512835,0,0,2,0,0,0,0,-1,2,1
10,-7.645928943096143,-0.27559724945213526,1,-0.7977238782850798,0.4595967237716946,0,0,2,0,0,0,0,-1,1,1
11,-9.261540942856778,-6.678928604851456,1,-1.1384710374877742,-1.6037510116298266,2,1,1,2,1,1,0,1,2,0
12,-7.966766077676384,-6.637742347616941,0,-0.8653913270234818,-1.5904795493428023,2,1,1,2,1,1,0,1,2,0
13,-8.579696002666978,-7.377091963899568,0,-0.9946637827627364,-1.8287204386168525,2,1,1,2,1,1,0,-1,2,0
14,-5.790929562283015,0.604805377612433,1,-0.4064877588278842,0.7432891747743247,0,0,2,0,0,0,0,-1,1,1
15,-4.234008798728569,0.8318837434930432,1,-0.07811911130393207,0.8164607172095539,0,0,2,0,0,0,0,-1,1,1
16,-9.426664911697081,-5.307873965434485,0,-1.173297173532161,-1.1619555885384756,2,1,1,2,1,1,0,1,2,0
17,1.9056226161361716,0.0934931090536733,2,1.2167845929745298,0.5785288409952305,1,2,0,1,2,2,0,0,0,2
18,2.862828963997354,0.7021077354815464,2,1.4186680550018034,0.7746429480862702,1,2,0,1,2,2,0,0,0,2
19,-7.409478142517402,-2.2885987486311645,1,-0.7478542693688637,-0.18905346378866753,0,1,2,0,0,0,0,-1,1,1
20,-9.16180136199575,-3.8492024634438176,0,-1.1174350592680666,-0.6919273527219196,2,1,1,2,1,1,0,1,2,0
21,-9.377887810125408,-7.7607752928322835,0,-1.1630096423692633,-1.952354853880572,2,1,1,2,1,1,0,-1,2,0
22,-8.839125553001107,-0.89711984532361,1,-1.049379817493033,0.25932327710538366,0,0,2,0,0,0,0,-1,1,1
23,1.9135769567644267,0.7642058315701958,2,1.218462235238149,0.7946528396295559,1,2,0,1,2,2,0,0,0,2
24,2.187009198203773,-0.0326681429645832,2,1.2761315639623019,0.5378758559786436,1,2,0,1,2,2,0,0,0,2
25,-9.65768679736458,-7.543348337965549,0,-1.2220217752722524,-1.8822932890419444,2,1,1,2,1,1,0,-1,2,0
26,2.0183759123616434,-0.26389922444466063,2,1.2405652812742338,0.4633661825218638,1,2,0,1,2,2,0,0,0,2
27,-7.879803507249169,-5.620155045376034,0,-0.847050135676532,-1.262582031766784,2,1,1,2,1,1,0,1,2,0
28,2.3096579084268725,-0.07535587060434856,2,1.3019992844264898,0.5241205743500149,1,2,0,1,2,2,0,0,0,2
29,1.2134919429953488,0.5893286384819661,2,1.0708079842932834,0.7383020996311148,1,2,0,1,2,2,0,0,0,2
30,-1.646080524555356,5.911956565890883,1,0.46769832987346915,2.453414385854385,1,0,0,0,0,0,-1,-1,1,1
31,2.325060877760518,-0.028444311085250917,2,1.3052479097427807,0.5392369028242965,1,2,0,1,2,2,0,0,0,2
32,2.2541552667915656,0.2534848418732959,2,1.290293276134723,0.630083033847983,1,2,0,1,2,2,0,0,0,2
33,-5.1550355821392575,3.6279669259197584,1,-0.2723719764988457,1.7174435935040542,0,0,2,0,0,0,0,-1,1,1
34,2.0419909372675247,0.6800642389714867,2,1.245545903262912,0.7675398643818776,1,2,0,1,2,2,0,0,0,2
35,-10.299043527469992,-3.291615527075505,0,-1.357289700895067,-0.5122559163101642,2,1,1,2,0,1,0,-1,2,0
36,-8.424578320056511,-5.322646635548799,0,-0.9619480628377465,-1.1667157912727135,2,1,1,2,1,1,0,1,2,0
37,-10.377138303891167,1.7395848608320088,1,-1.3737605944128346,1.108949570422428,0,0,2,0,0,0,-1,-1,1,1
38,1.1490083779111613,0.2585432115621963,2,1.0572078181513171,0.6317129941082179,1,2,0,1,2,2,0,0,0,2
39,-0.2385753215769597,-2.3991649408712363,1,0.7645538864978054,-0.22468124715773458,1,2,0,0,0,0,-1,-1,2,1
40,-7.395455518978677,-6.697694394830196,0,-0.7448967714447969,-1.6097979187952671,2,1,1,2,1,1,0,1,2,0
41,-2.2498963292027723,-0.6213906785831811,1,0.3403481244121459,0.34817158436942863,0,0,2,0,0,0,0,-1,1,1
42,-9.217604790322953,-5.46475932131316,0,-1.129204506189161,-1.212508812446992,2,1,1,2,1,1,0,1,2,0
43,1.6148254639189215,0.5963424293237837,2,1.1554528477677957,0.7405621559434968,1,2,0,1,2,2,0,0,0,2
44,-9.067363764621442,-4.909175170379718,0,-1.0975173172409025,-1.0334827342967685,2,1,1,2,1,1,0,1,2,0
45,-9.625942889855157,1.8683541383459707,1,-1.21532669854131,1.1504429404201693,0,0,2,0,0,0,-1,-1,1,1
46,0.5164237553382387,-3.3578414151835982,1,0.923790009216395,-0.5335959077409632,1,2,0,0,0,0,-1,-1,0,1
47,2.116994714110542,0.559217261854421,2,1.2613648770589208,0.728599300052911,1,2,0,1,2,2,0,0,0,2
48,2.4205643919863435,0.47290412285106037,2,1.325390463258814,0.7007865866365092,1,2,0,1,2,2,0,0,0,2
